project,grass-harvest-g,needle-harvest-g,oak-harvest-g,grass-ocular,needle-ocular,oak-ocular
Patch ,157.2,0,,2,0,
Patch ,166.49,146.5,,2,2,
Patch ,150.75,41.29,,2,1,
Patch ,6.29,224.78,,1,4,
Patch ,0,146.5,,0,2,
Patch ,6.5,173.03,,1,3,
Patch ,188.26,75.23,,4,1,
Patch ,144.29,87.8,,2,2,
Patch ,135.75,100.1,,3,2,
Patch ,246.7,98.52,,4,1,
Patch ,215.12,179.79,,3,2,
Patch ,5.38,186.71,,1,3,
Patch ,10.85,177.52,,1,2,
Patch ,68.81,189.47,,1,2,
Patch ,0,174.19,,0,2,
Patch ,0,41.17,,0,1,
Patch ,333.25,18.19,,4,1,
Patch ,564.35,16.11,,4,1,
Patch ,111.95,22.01,,2,1,
Patch ,102.73,13.65,,2,1,
Patch ,46.35,14.04,,1,1,
Patch ,143.92,201.15,,3,3,
Patch ,166.47,236.36,,2,3,
Patch ,204.88,171.16,,4,2,
Patch ,166.62,216.43,,3,3,
Patch ,148.55,284.18,,3,3,
Patch ,127.71,202.23,,2,3,
Patch ,109.46,162.9,,3,2,
Patch ,229.5,116.36,,3,2,
Patch ,223.69,112,,4,2,
Patch ,214.82,146.75,,4,2,
Patch ,280.34,0,,4,0,
Patch ,201.1,0,,3,0,
Patch ,114.18,113.18,,2,2,
Patch ,115.3,2.65,,2,1,
Patch ,65.85,68.57,,1,2,
Patch ,301.1,3.21,,4,1,
Patch ,165.51,0,,4,0,
Patch ,101.1,21.9,,2,1,
Patch ,74.97,5.01,,1,1,
Patch ,28.42,95.74,,1,2,
Patch ,301.78,223.67,,4,3,
Patch ,163.6,194.35,,2,2,
Patch ,302,248.75,,4,3,
Patch ,267.17,143.75,,3,2,
Patch ,168.17,127.14,,1,2,
Patch ,43.47,423.83,,1,3,
Patch ,59.08,328.04,,2,4,
Patch ,390.24,275.25,,4,3,
Patch ,230.76,236.24,,3,3,
Patch ,168.78,269.48,,4,3,
Patch ,80.32,217.29,,1,3,
Patch ,121.67,132.21,,2,2,
Patch ,55.87,135.5,,1,2,
Patch ,139.26,134.64,,2,2,
Patch ,134.75,114.51,,2,2,
Patch ,66.64,202,,1,3,
Patch ,57.33,167.77,,2,2,
Patch ,168.47,169.77,,2,2,
Patch ,190.87,101,,2,1,
Patch ,77.22,132.19,,1,2,
Patch ,396.54,93.16,,4,1,
Patch ,179.34,43.17,,2,1,
Patch ,101.11,228.39,,2,3,
Patch ,357.82,138.31,,4,2,
Patch ,224.71,191,,3,2,
Patch ,243.24,244.81,,3,3,
Patch ,178.15,263.96,,3,3,
